ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Sense_IDs,alt_translation1,alt_translation2
XV000940,gyr,pësë pësë,,,colourfully brindled like a cow,,,Hoeller 1932a:171,SN001682,colorado manchado como una vaca,buntscheckig wie eine Kuh
XV000941,gyr,pëtɨ̈ndɨ / pëtɨ̈tɨ,,,tobacco field,,,Hoeller 1932a:170,SN001683,chaco de tabaco,Tabackacker
XV000942,gyr,kau che pi,,,a wasp has stung me,,,Hoeller 1932a:171,SN001684,me ha picado una avispa,eine Wespe hat mich gestochen
XV000943,gyr,asekopia,,,"I cover his/her being, his/her life, I apologize for him/her, I occult it",,,Hoeller 1932a:171,SN001686 ; SN002308 ; SN003491,"oculto su carácter, su vida, le disculpo, lo oculto","ich verdecke sein Wesen, sein Leben, entschuldige ihn, verheimliche es"
XV000944,gyr,amombiasa mini iñe'engagwer,,,"I explain his/her words badly in order that they cannot be understood, I disguise his/her words",,,Hoeller 1932a:115,SN001686,"explico mal sus palabras para que no sean entendidos, oculto sus palabras","ich erkläre seine Rede schlecht, damit sie nicht verstanden werde, ich verschleiere seine Worte"
XV000945,gyr,vɨraso piane,,,lest he/she steals,,,Hoeller 1932a:172,SN001688,antes que robe,damit er es nicht stehle
XV000946,gyr,Ascensión piar,,,the way to Ascensión,,,Hoeller 1932a:172,SN001690,el camino a Ascensión,Weg nach Ascension
XV000947,gyr,oipiärö oyeupe,,,they aim at each other,,,Hoeller 1932a:172,SN001692,se apuntan mutuamente,sie legen aufeinander an
XV000948,gyr,aipichi iraitɨ pɨpe,,,"I lubricate it with wax, I impregnate it",,,Hoeller 1932a:172,SN001694,"aplico cera en algo, lo impermeabilizo","ich streiche es mit Wachs ein, imprägniere es"
XV000949,gyr,ipichi'u gwasu ai,,,they smell bad like fish,,,Hoeller 1932a:172,SN001695,huelen muy mal a pescado,sie stinken arg nach Fischen
XV000950,gyr,ipinipini,,,"spotted, painting or cloth with a small pattern",,,Hoeller 1932a:173,SN001698,"moteado, pintura o tela con diseño pequeño","gesprenkelt, mit kleinem Muster versehene Malerei oder Tuch"
XV000951,gyr,ñakä pinda pinda,,,of curly hair,,,Hoeller 1932a:172,SN001699,de pelo rizado,von lockigem Haar
XV000952,gyr,aseikwapindɨ,,,I clean the child,,,Hoeller 1932a:173,SN001700 ; SN002350,limpio el niño,ich reinige das Kind
XV000953,gyr,pindo rovape,,,shaft of a fan of palm leaves,,,Hoeller 1932a:173,SN001701,el tallo del soplador de hoja de palma,der Schaft der Palmfächer
XV000954,gyr,avɨrapapira,,,I draw the bow,,,Hoeller 1932a:173,SN001704,tiendo el arco,ich spanne den Bogen
XV000955,gyr,pira pichiu ovɨreko,,,it smells of fish,,,Hoeller 1932a:173,SN001705,huele a pescado,es riecht nach Fischen
XV000956,gyr,popiräkwa,,,"strong, firm",,,Hoeller 1932a:174,SN001711,"fuerte, firme","stark, fest"
XV000957,gyr,"che piräkwa, che pirätä",,,"I am strong, I have power",,,Hoeller 1932a:176,SN001711,soy fuerte,ich habe Kraft
XV000958,gyr,amomirätä seru,,,I bring him/her forcefully,,,Hoeller 1932a:129,SN001712,le traigo con violencia,ich bringe ihn mit Gewalt
XV000959,gyr,mba'e pirer,,,"skin, fur",,,Hoeller 1932a:174,SN001716,"piel, pellejo","Haut, Fell"
XV000960,gyr,ɨ pirërï,,,thin water,,,Hoeller 1932a:174,SN001718,agua delgada,dünnes Wasser
XV000961,gyr,amomirërï,,,"I make it thin, thinner, slim",,,Hoeller 1932a:129,SN001718,"lo adelgazo, lo hago más delgado","ich mache es dünn, dünner, schmal"
XV000962,gyr,piritɨ,,,"rush place, swamp",,,Hoeller 1932a:174,SN001719,"lugar de juncos, pantano","Binsenplatz, Sumpf, wie um die Lagune"
XV000963,gyr,tataendɨ piriri,,,"sparkle, sparkle rain",,,Hoeller 1932a:174,SN001721,"chispa, lluvia de chispas","Funke, Funkenregen"
XV000964,gyr,che pirɨai sɨrɨ,,,the sweat is flowing down on me,,,Hoeller 1932a:175,SN001724,el sudor se me corre abajo,es rinnt mir der Schweiß herab
XV000965,gyr,ipirosa,,,"skinning, peeling",,,Hoeller 1932a:175,SN001725,el acto de pelar,die Häutung
XV000966,gyr,"ipiru, ipirukwer",,,"draught, dryness",,,Hoeller 1932a:175,SN001726,sequía,Trockenheit
XV000967,gyr,che piru'a,,,"I have smallpox, measles (blisters)",,,Hoeller 1932a:175,SN001727,"tengo viruela, sarampión (ampollas)","ich habe die Blattern, die Pocken, die Masern (Blasen)"
XV000968,gyr,che mopitaigwasu ɨroɨ̈sagwer,,,the cold rain caused me rash,,,Hoeller 1932a:175,SN001728,la lluvia fría me causó erupción de piel,der kalte Regen hat mir viel Ausschlag verursacht
XV000969,gyr,pitani mini,,,"breast child, lap child",,,Hoeller 1932a:175,SN001729,"niño de seno, niño de falda","Brustkind, Schoßkind"
XV000970,gyr,amopito,,,I make it blunt,,,Hoeller 1932a:175,SN001731,lo desafilo,ich stumpfe es ab
XV000971,gyr,ayepitu,,,"I anoint myself, I paint myself",,,Hoeller 1932a:175,SN001733,"me echo crema, me pinto","ich salbe mich, streiche mich mit Farbe an"
XV000972,gyr,ipituva rasɨ ai,,,"obsolete, reluctant to work",,,Hoeller 1932a:175,SN001734,"obsoleto, sin ganas de trabajar","veraltet, arbeitsunlustig"
XV000973,gyr,ava pi'ä?,,,who?,,,Hoeller 1932a:176,SN001736,quién pues?,Wer denn?
XV000974,gyr,aipicho / amombicho,,,"I incline it, I put it askew",,,Hoeller 1932a:172,SN001739,"lo inclino, lo pongo torcido","ich neige es, stelle es schief"
XV000975,gyr,tapïnea,,,that it be red,,,"Hoeller 1929:P, 76",SN001741,que sea colorado,dass es rot sei
XV000976,gyr,ñapïpe,,,"his cockscomb, of the cock",,,Hoeller 1932a:176,SN001742,su cresta del gallo,"sein Kamm, des Hahnes"
XV000977,gyr,kɨyu / sasoi oipïpï,,,the crickets or worms gnawed it,,,Hoeller 1932a:176,SN001743,los grillos o gusanos lo roeron,die Grillen oder Würmer haben es angenagt
XV000978,gyr,"tapïra, tipïra",,,may it be red!,,,Hoeller 1932a:177,SN001744,que sea rojo,es soll rot sein
XV000979,gyr,pïtö kächï,,,another species of fruit,,,Hoeller 1932a:177,SN001746,otra especie de fruta,eine andere Art derselben Frucht
XV000980,gyr,che pɨ ruru ai,,,my foot is swollen,,,Hoeller 1932a:177,SN001747,mi pie está hinchado,ich habe einen geschwollenen Fuss
XV000981,gyr,ipɨkwer,,,"its broadness, thickness, capacity",,,Hoeller 1932a:177,SN001748,"su anchura, grosor, capacidad","seine Breite, Dicke, Fassungsvermögen"
XV000982,gyr,aipɨa yesu'u tupɨrɨ,,,"I weave it well, tightly",,,Hoeller 1932a:178,SN001750,"lo tejo bien, tenso",ich webe es gut oder strenge
XV000983,gyr,che pɨekɨi ɨvɨ kwïchï rese,,,I slipped in the sand,,,Hoeller 1932a:181,SN001751,me resbalé en la arena,ich glitt im Sande aus
XV000984,gyr,amopɨenda,,,I make him/her a stirrup or I put something for him/her so that he can get on,,,Hoeller 1932a:180,SN001752,le hago un estribo o le pongo algo para subir,ich mache ihm Steigbügel oder stelle ihm etwas zum Aufsteigen
XV000985,gyr,ña'ë gwɨta pɨeresar,,,bowl licker,,,Hoeller 1932a:181,SN001753,lamedor de fuentes,Schüsselauslecker
XV000986,gyr,aipɨgwara,,,"I make it bulgy, I cave out a semi-circle inside like a earthen pot",,,Hoeller 1932a:181,SN001754,"lo hago abombado, lo ahueco semi-redondo en su adentro como una olla de barro","ich mache es bauchig, höhle es von innen halbrund aus wie einen irdenen Topf"
XV000987,gyr,"ambopɨgwasu, ambopɨgwaivusu",,,"I broaden it, I make it broad",,,Hoeller 1932a:181,SN001756,"lo amplío, lo hago ancho","ich verbreitere es, mache es breit"
XV000988,gyr,ipɨkö'ë va'e,,,"concave, niche, the lower part of elevations",,,Hoeller 1932a:180,SN001758,"cóncavo, nicho, la parte más baja en subidas","konkav, Nische, das Tiefere bei Erhöhungen"
XV000989,gyr,che pɨkui eve!,,,Row me!,,,Hoeller 1932a:180,SN001759,Remáme!,Rudere mich!
XV000990,gyr,mimoï oipɨkui,,,he/she is stirring the food,,,"Hoeller 1929:P, 87",SN001760,él/ella bate la comida,sie rührt das Essen
XV000991,gyr,ipɨkukusave ogweapi,,,he/she fell deeply,,,Hoeller 1932a:183,SN001761,se cayó profundamente,er fiel in die Tiefe
XV000992,gyr,che pɨñua kwasa,,,the threads of my ankle (used by the savages),,,Hoeller 1932a:182,SN001764,mis cuerdas de tobillo (como lo usan los salvajes),"meine Knöchelschnüre, wie sie die Wilden tragen"
XV000993,gyr,oyepɨndekwa ko mbɨa rese,,,"they have passed those people without seeing them, or: they have met each other",,,Hoeller 1932a:181,SN001765,"ellos/ellas han pasado esas personas sin verlas, o: se encontraron","sie sind an diesen Leuten vorbeigegangen, ohne sie zu sehen, oder: sie sind einander begegnet"
XV000994,gyr,ɨvɨra pɨpe,,,with beating,,,Hoeller 1932a:182,SN001766,con golpes,mit Prügeln
XV000995,gyr,aipɨpepiärö / aipɨpiärö,,,"I tense something, e.g. the cow skin with sticks, the canoe with lumbers etc.",,,Hoeller 1932a:183,SN001767,"tienso algo, p.e. el cuero de vaca con palos, la canoa con maderas","ich spanne es auseinander, die Kuhhaut mit Stäben, die Canoa mit Hölzern etz."
XV000996,gyr,che so pɨpeve,,,"while I went, when I go",,,Hoeller 1932a:182,SN001769,"mientras que me fui, en cuanto que me voy","während ich ging, sobald ich gehe"
XV000997,gyr,aipɨpira che yuru,,,I open my mouth,,,Hoeller 1932a:182,SN001770,abro mi boca,ich öffne meinen Mund
XV000998,gyr,mba'erä pä mba'epɨr ereru cheu?,,,Why do you give me underdone (meat)?,,,Hoeller 1932a:183,SN001772,Por qué me la traes cocacha (la carne)?,Warum bringst du mir halbgekochtes (Fleisch auf den Tisch)?
XV000999,gyr,nde puri ayu,,,I go to where you are,,,Hoeller 1932a:209,SN001773,"voy ande vos, voy adonde estás tú",ich komme zu dir
XV001000,gyr,amopɨrɨrɨ,,,I make it spin,,,Hoeller 1932a:183,SN001775,lo hago girar,"ich versetze es in kreisende Bewegungen, lasse den Kreisel laufen, lasse die Spindel kreisen"
XV001001,gyr,apɨrö sese,,,I step on him/her,,,Hoeller 1932a:183,SN001776,yo le piso,ich trete auf ihn
XV001002,gyr,pɨsa uve,,,at night,,,Hoeller 1932a:186,SN001779,en la noche,"nachts, abends"
XV001003,gyr,pɨsäpe,,,toe nail,,,Hoeller 1929:79,SN001781,uña del dedo del pie,Zehennagel
XV001004,gyr,ayepɨsei,,,I wash my feet,,,Hoeller 1932a:186,SN001783,me lavo los pies,ich wasche mir die Füsse
XV001005,gyr,gwaka ro'o pɨsengwer,,,a piece of meat,,,Hoeller 1932a:186,SN001784,un pedazo de carne,ein Stück Fleisch
XV001006,gyr,Tüpa pɨsɨsa,,,communion,,,Hoeller 1932a:186,SN001785,comunión,Kommunion
XV001007,gyr,"pɨsɨrɨsa, pɨsɨrɨka",,,slippery part,,,Hoeller 1932a:187,SN001786,parte resbalosa,glitscherige Stelle
XV001008,gyr,aipɨsɨrö cheyeupe,,,I choose it for myself,,,Hoeller 1932a:187,SN001788,lo escojo para mi,ich wähle es für mich aus
XV001009,gyr,ayepɨso,,,"I lay down lengthwise, I extend myself",,,Hoeller 1932a:187,SN001789,"me echo estrechamente, me extiendo","ich lege mich der Länge nach hin, strecke mich aus"
XV001010,gyr,yapɨta,,,let's stay!,,,"Hoeller 1929:Y, 126",SN001791,quedémonos,lass uns bleiben!
XV001011,gyr,pɨtäsä,,,"sinew of heel, sinew of foot",,,Hoeller 1932a:184,SN001792,"tendón de talón, tendón de pie","Sehne der Ferse, Fusssehne"
XV001012,gyr,topopɨtaso mini,,,I have to interrupt you a bit,,,Hoeller 1932a:184,SN001794,tengo que interrumpirles un poco,ich muss euch ein wenig unterbrechen
XV001013,gyr,amopɨtepo che pökwä,,,"I twist my finger, I bend it",,,Hoeller 1932a:184,SN001798,me retorzo el dedo,"ich drehe mir meinen Finger aus, biege ihn um"
XV001014,gyr,aipɨter gwicho,,,I march in the middle,,,Hoeller 1932a:184,SN001799,marcho en el centro,ich marschiere als Mittelmann
XV001015,gyr,aipɨtero,,,"I take it from the middle, I take it out, I clear it like a field",,,Hoeller 1932a:185,SN001800,"lo saco del centro, lo despejo como un chaco","ich nehme es aus der Mitte heraus, räume es heraus, mache es frei wie einen Acker"
XV001016,gyr,aipɨtero gwicho,,,I march in the middle of the row,,,Hoeller 1932a:185,SN001801,marcho en el medio de la fila,ich marschiere mitten in der Reihe
XV001017,gyr,aipɨtɨ̈vɨi,,,"I support him/her, I help him/her",,,Hoeller 1932a:188,SN001802,"le apoyo, le ayudo","ich unterstütze ihn, helfe ihm"
XV001018,gyr,ogwata pɨtu pɨtu,,,the one who walks quickly,,,Hoeller 1932a:185,SN001804,él/ella camina rápido,"er geht flott, schnell"
XV001019,gyr,che pɨtumbukai,,,I have an acid stomach,,,Hoeller 1932a:185,SN001805,mi estómago está ácido,ich habe einen sauren Magen
XV001020,gyr,gwigwapɨ apɨtu'u,,,I rest sitting,,,Hoeller 1932a:185,SN001806,descanso sentado/-a,ich ruhe sitzend aus
XV001021,gyr,mimbikwer,,,"darkness, the bubbles of a fermentation process",,,Hoeller 1932a:128,SN001807,"oscuridad, los burbujos de fermento en líquidos que fermentan","Finsternis, Dunkelheit, die Gärbläschen fermentierendes Flüssigkeiten"
XV001022,gyr,pɨtü mimbi,,,dark night,,,"Hoeller 1929:M, 54",SN001807,noche oscura,dunkle Nacht
XV001023,gyr,ɨ pɨväkwäsa rupi akwa,,,I went downriver,,,Hoeller 1932a:179,SN001808,yo me fui río abajo,ich ging flussabwärts
XV001024,gyr,pɨvusa,,,"wooden spoon, poker",,,Hoeller 1932a:180,SN001810,"cuchara, atizador","Kochlöffel, Schürhaken"
XV001025,gyr,apɨvoi,,,"I dance, push with the feet, kick my legs, beat time with my feet",,,Hoeller 1932a:179,SN001811,"yo bailo, golpeo, pataleo, marco el compás con los pies","ich tanze, stoße mit den Füßen, strample, gebe den Takt mit den Füßen"
XV001026,gyr,apɨvondɨ,,,"I push, I kick my legs, I trudge",,,Hoeller 1932a:180,SN001812,"pateo, piso fuerte, pataleo","ich stosse, trete fest auf, trample, strample, stampfe"
XV001027,gyr,che pɨyere ini sui,,,he/she made me fall out of the hammock,,,Hoeller 1932a:186,SN001817,él/ella me hizo caer de la hamaca,er ließ mich aus der Hängematte fallen
XV001028,gyr,"che pɨ'a suive, che pɨave",,,with all my heart,,,Hoeller 1932a:178,SN001820,de todo el corazón,von ganzem Herzen
XV001029,gyr,che pɨ'a raku katu Tumpä raɨsusa rese,,,I feel conflagrant love for God,,,Hoeller 1932a:178,SN001821,siento un amor impetuoso a Díos,ich bin entbrannt in Liebe zu Gott
XV001030,gyr,che pɨa ätä,,,I am courageous,,,Hoeller 1932a:178,SN001822,soy audaz,ich bin beherzt
XV001031,gyr,che pɨ'a katupɨrɨ chupe,,,"I have a good intention for it, he/she appeals me",,,Hoeller 1932a:179,SN001823,"lo tengo buena intención, me apetece","ich habe den guten Willen dafür, bin ihm zugeneigt"
XV001032,gyr,che pɨ'a yaitɨ,,,my heart beats,,,Hoeller 1932a:276,SN001827,mi corazón está latiendo,"mein Herz klopft, pocht"
XV001033,gyr,a'ä / aiko pɨaivi,,,I am on the spot,,,Hoeller 1932a:179,SN001828,ya estoy,ich bin sofort zur Stelle
XV001034,gyr,aikwaa ipɨ'apendar,,,I know what his/her intention is,,,Hoeller 1932a:179,SN001831,conozco su intención,ich kenne seine Absicht
XV001035,gyr,che pɨ'aro,,,I feel queasy,,,Hoeller 1932a:179,SN001834,me siento mal,ich bin unwohl
XV001036,gyr,turukwar pɨ'asu,,,new dress,,,Hoeller 1932a:179,SN001835,vestido nuevo,neues Kleid
XV001037,gyr,che pɨ'atɨtɨ,,,my heart beats,,,Hoeller 1932a:179,SN001837,mi corazón pulsa,mir pocht das Herz
XV001038,gyr,che pɨ'averavera,,,I am excited,,,Hoeller 1932a:179,SN001838,estoy excitado/-a,ich bin aufgeregt
XV001039,gyr,ipɨa yoya va'e,,,"peaceful, amicable, united",,,Hoeller 1932a:179,SN001839,"pacífico, amistoso, unido","friedlich, freundschaftlich, einig"
XV001040,gyr,ipɨ'i va'e,,,"dense, crowded",,,Hoeller 1932a:181,SN001841,"apiñado, tupido","dicht, gedrängt"
XV001041,gyr,aipi'ü ɨ'a sereko,,,I varnish the calabash shell inside with black,,,Hoeller 1932a:181,SN001844,pinto la cáscara de la tutuma en negro por dentro,ich lackiere die Kürbisschale innen schwarz aus
XV001042,gyr,ɨpɨ̈chï,,,turbid water,,,Hoeller 1932a:187,SN001845,agua turbia,Trübwasser
XV001043,gyr,ndipɨ̈i cheu che yukwar,,,my cough does not get softer,,,Hoeller 1932a:177,SN001846,mi toz no se suaviza,mein Husten will sich nicht erweichen
XV001044,gyr,che repɨ̈no,,,my fart,,,Hoeller 1932a:188,SN001848,mi pedo,mein Furz
XV001045,gyr,pɨ̈nö ruangɨr iupɨr,,,the soft twigs of the stinging nettle are edible,,,Hoeller 1932a:188,SN001849,las ramas suaves de la ortiga son comestibles,die zarten Brennesselzweige sind essbar
XV001046,gyr,toropɨ̈ro,,,I want to help you,,,Hoeller 1932a:183,SN001850,quiero ayudar a vos,ich will dir helfen
XV001047,gyr,okienda pɨrunga,,,door sill,,,Hoeller 1932a:183,SN001851,umbral,Türschwelle
XV001048,gyr,i'a pɨ̈tä va'e,,,brown fruit,,,Hoeller 1932a:188,SN001853,frutas de color café,braune Früchte
XV001049,gyr,ko pɨ̈tü,,,this night,,,Hoeller 1932a:188,SN001854,esta noche,diese Nacht
XV001050,gyr,che pɨ̈tü'ë,,,I breathe,,,Hoeller 1932a:189,SN001855,respiro,ich atme
XV001051,gyr,ipɨ̈vɨi ete,,,very soft,,,Hoeller 1932a:187,SN001857,muy blando,sehr weich
XV001052,gyr,apo apo,,,I jump for joy,,,Hoeller 1932a:190,SN001858,salto por alegría,ich hüpfe vor Freude
XV001053,gyr,po akato,,,right hand,,,Hoeller 1932a:190,SN001859,mano derecha,die rechte Hand
XV001054,gyr,mbo'ɨrpo,,,pearl necklace,,,Hoeller 1932a:190,SN001860,collar de perlas,Perlenkette
XV001055,gyr,aipoapa,,,wind a string; I bend his/her hand,,,Hoeller 1932a:19,SN001860,ovillar hilo; le doblo la mano,Faden aufwickeln; jemandem die Hand umknicken
XV001056,gyr,ipo,,,it is full,,,Hoeller 1932a:190,SN001861,está lleno,es ist voll
XV001057,gyr,ei po? (2019: e'i vo),,,How are you?,,,Hoeller 1932a:190,SN001862,Cómo estás? Qué tal?,Wie geht es? Wie steht es?
XV001058,gyr,che poäse,,,I sigh,,,Hoeller 1932a:192,SN001866,yo suspiro,ich seufze
XV001059,gyr,apochi,,,I relieve myself,,,Hoeller 1932a:194,SN001867,cago,ich verrichte meine Notdurft
XV001060,gyr,pochi'a ɨta,,,sternum,,,Hoeller 1932a:194,SN001870,esternón,"Brustbein, Brustgerippe"
XV001061,gyr,amopochi'apo,,,I put him/her on his back,,,Hoeller 1932a:194,SN001871,le acuesto en su espalda,ich lege ihn auf den Rücken
XV001062,gyr,amopogwasu,,,I spin or weave it thick or rough,,,Hoeller 1932a:195,SN001872,lo hilo o tejo grueso,"ich spinne oder webe es dick, grob"
XV001063,gyr,che poise,,,"I am generous, I have open hands",,,Hoeller 1932a:195,SN001873,"soy generoso/-a, tengo las manos abiertas","ich bin freigebig, habe offene Hände"
XV001064,gyr,ayopoi,,,I nourish him/her,,,Hoeller 1932a:196,SN001874,le alimento,ich nähre ihn
XV001065,gyr,aipoka,,,"I bruise his/her hand, I twist it, I jam it",,,Hoeller 1932a:192,SN001876,"le apreto la mano furte, le tuerzo la mano, la pillo","ich quetsche ihm die Hand, drehe sie ihm um, klemme sie ein"
XV001066,gyr,patavi pokasa,,,loaded with sugar cane,,,"Hoeller 1929:P, 80",SN001878,cargado con caña de azúcar,mit Zuckerrohr beladen
XV001067,gyr,ayepokie,,,"I tie myself, I make myself thin to pass somewhere",,,Hoeller 1932a:198,SN001879,"me ato, me hago delgado/-a para pasar entre algo","ich schnüre mich zusammen, mache mich schmal, um irgendwo durchzukommen"
XV001068,gyr,che pokɨrï,,,I am ticklish in the hand,,,Hoeller 1932a:198,SN001880,soy cosquilloso/-a en la mano,ich bin kitzlig en la mano
XV001069,gyr,ipokɨ̈tä,,,"it is knotted, knotty",,,Hoeller 1932a:199,SN001882,"está anudado, nudoso","es ist verknotet, knorrig"
XV001070,gyr,apoko cheye'ese,,,I touch myself,,,Hoeller 1932a:192,SN001883,"me toco, me tento","ich berühre mich, betaste mich"
XV001071,gyr,aipoko,,,I take it slowly,,,"Hoeller 1929:P, 81",SN001883,lo llevo despacio,ich nehme es langsam mit
XV001072,gyr,aipokoi,,,I guide him/her taking his/her hand,,,Hoeller 1932a:193,SN001884,le guío agarrando su mano,ich führe ihn an der Hand
XV001073,gyr,ipokoka oiko ogwata,,,he/she walks with a cane,,,Hoeller 1932a:193,SN001885,camina con bastón,er geht mit dem Stock
XV001074,gyr,che reko pokopɨ tutei,,,I have a genuine live,,,Hoeller 1932a:193,SN001886,tengo una vida genuina,ich habe ein zähes Leben
XV001075,gyr,che pokosu omba'e rese che monda ramose,,,he/she caught me up stealing (his/her property),,,Hoeller 1932a:193,SN001887,me pilló robando (su propiedad),er ertappte mich bei Diebstahl (seines Eigentums)
XV001076,gyr,ndipoku'ei,,,"he/she is not generous, he/she is stingy",,,Hoeller 1932a:194,SN001889,no es generoso/-a es mezquino/-a,"er ist nicht freigebig, knausert"
XV001077,gyr,che pokwa eve!,,,tie me up!,,,Hoeller 1932a:193,SN001890,atáme!,Fessle mich!
XV001078,gyr,aipokwaa (2019: aipokwa),,,I accustom him/her,,,Hoeller 1932a:193,SN001891,le acostumbro,ich gewöhne ihn an
XV001079,gyr,"pokwäpendar, kwäpendar, kwäpenda",,,ring,,,Hoeller 1932a:194,SN001892,anillo,Ring
XV001080,gyr,a'e che poma,,,he/she grasps my hand,,,Hoeller 1932a:196,SN001893,me agarra la mano,er fasst mich bei der Hand
XV001081,gyr,mba'e pirer pomo,,,glue made from animal skins,,,Hoeller 1932a:196,SN001894,engrudo de piel de animales,Leim aus Tierhäuten
XV001082,gyr,aipomombɨ,,,I am twisting the thread/ the rope/someone,,,Hoeller 1932a:197,SN001896,estoy torciendo el hilo/una soga/una persona,"ich drehe, winde, etc."
XV001083,gyr,kapi'i poñɨ,,,trailing plant (e.g. sweet potato),,,Hoeller 1932a:197,SN001900,planta rastrera (p.e. camote),Kriechende Pflanze (wie Süßkartoffel)
XV001084,gyr,ipopendar,,,a child that is still carried,,,Hoeller 1932ː197,SN001902,niño a que se carga todavía,"Kind, das man noch auf dem Arme trägt"
XV001085,gyr,ipopi,,,he/she overcame the obstacle like a horse,,,Hoeller 1932a:197,SN001904,salvó el obstáculo como un caballo,"es hat das Hindernis genommen, wie das Pferd"
XV001086,gyr,ndapopindai che rese!,,,fight with me! (game of boys),,,Hoeller 1932a:197,SN001907,pelea conmigo! (juego de niños),Hackele mit mir! (Bubenspiel)
XV001087,gyr,che popiräkwa chupe,,,I am stronger than him/her,,,Hoeller 1932a:198,SN001908,soy más fuerte que él/ella,ich bin stärker als er
XV001088,gyr,ɨpopɨ,,,"riverbank, riverside",,,Hoeller 1932a:198,SN001909,"orilla del río, lengua del agua","Ufer des Flusses, der Uferstreifen"
XV001089,gyr,ayerokɨ popɨ'i,,,I pray or read fast,,,Hoeller 1932a:198,SN001910,rezo o leo rápidamente,ich bete oder lese schnell
XV001090,gyr,oroyepopɨsɨ,,,we got engaged,,,Hoeller 1932a:198,SN001912,nos prometimos,wir haben uns verlobt
XV001091,gyr,popɨta,,,thenar,,,Hoeller 1932a:198,SN001913,pulpejo,der Ballen der Hand
XV001092,gyr,ayeporaka,,,"I supply myself, I stock up on fish, I fish for myself",,,Hoeller 1932a:200,SN001916,"me procuro, me aprovisiono con pescado, pesco para mi","ich versorge mich, decke mich ein mit Fischen, fische für mich"
XV001093,gyr,che poramba chupe,,,I am a nuisance for him/her,,,Hoeller 1932a:200,SN001917,le molesto,ich bin ihm lästig
XV001094,gyr,aiporañereko,,,"I like the child, I love it, I please it with a gift",,,Hoeller 1932a:201,SN001918,"lo quiero al niño, lo amo, le alegro con un regalo","ich habe es gern, das Kind, liebe es, erfreue es mit einem Geschenke"
XV001095,gyr,porañetesa,,,beauty,,,Hoeller 1932a:201,SN001919,belleza,Schönheit
XV001096,gyr,aporandu chupe sese,,,I ask him/her for or about something,,,Hoeller 1932a:200,SN001921,le pregunto por o sobre algo,"ich frage ihn darum, darüber"
XV001097,gyr,che ñe'ëporango teï chupe. (2019: che ñe'ëgwayɨ chupe),,,I joke around with him/her,,,Hoeller 1932a:200,SN001922,bromeo con él/ella,ich scherze mit ihm
XV001098,gyr,ereporapichi mini pä?,,,have you hunted down something? (to the hunter who comes home),,,Hoeller 1932a:201,SN001923,has matado algo? (al cazador que llega a casa),Hast du etwas erlegt? (zum heimkehrenden Jäger)
XV001099,gyr,aiporara,,,"I suffer it, I bear it",,,Hoeller 1932a:201,SN001924,"lo sufro, lo aguanto","ich leide es, erdulde, ertrage es"
XV001100,gyr,aporasei,,,I sing,,,Hoeller 1932a:201,SN001926,canto,ich singe
XV001101,gyr,aso ipuri gwiporavɨkɨ imboyoya,,,I went to work with him/her,,,Hoeller 1932a:199,SN001927,me fui a trabajar con él/ella,ich ging zusammen mit ihm auf die Arbeit
XV001102,gyr,ndaporäi,,,"it is nothing, it doesn't work, it is forbidden",,,Hoeller 1932a:199,SN001929,"no es nada, no sirve, está prohibido","es ist nichts, taugt nichts, ist nicht erlaubt"
XV001103,gyr,naponai (2019: naporäi),,,"bad thing, illicit thing",,,"Hoeller 1929:P, 82",SN001929,"cosa mala, ilícita","schlechte Sache, verbotene Sache"
XV001104,gyr,iporä cheu,,,it pleases me,,,Hoeller 1929:84,SN001929,me agrada,es gefällt mir
XV001105,gyr,aporeno,,,I fornicate,,,Hoeller 1932a:202,SN001932,fornico,ich treibe Unzucht
XV001106,gyr,che porereko sese,,,"I help him/her, I support him/her, I do something good for him/her",,,Hoeller 1932a:202,SN001933,"le ayudo, le apoyo, le hago bien","ich helfe ihm, unterstütze ihn, helfe ihm mit etwas aus, tue ihm Gutes"
XV001107,gyr,aporerekwa sese,,,I caress him/her,,,"Hoeller 1929:P, 85",SN001934,le acaricio,ich liebkose ihn
XV001108,gyr,poreroyasa,,,"believe, obedience",,,Hoeller 1932a:202,SN001935,"creencia, obedencia","Glaube, Gehorsam"
XV001109,gyr,Espiritu Santo omoporë'ɨ̈ ñande arakwa,,,the Holy Spirit enlightens our mind,,,Hoeller 1932a:202,SN001938,el espíritu santo alumbra nuestra razón,der Heilige Geist erleuchtet unsern Verstand
XV001110,gyr,opororo,,,it thunders (the thunder god),,,Hoeller 1932a:203,SN001955,truena (el dios del trueno),"er donnert, (der Donnergott)"
XV001111,gyr,poroaɨsuerekosar,,,compassionate,,,Hoeller 1932a:202,SN001956,con compasión,mitleidig
XV001112,gyr,aiporu uka chupe,,,I make him/her use it,,,Hoeller 1929:85,SN001957,yo le hago usarlo,"ich bringe ihn dazu, es zu benutzen"
XV001113,gyr,iposaka va'e,,,"strong, powerful",,,Hoeller 1932a:206,SN001959,"fuerte, poderoso","kräftig, mächtig"
XV001114,gyr,a'a ipose,,,I lie down beside him/her,,,Hoeller 1932a:206,SN001960,me acuesto a su lado,ich lege mich neben ihn
