ID,Language_ID,Headword,Part_Of_Speech,Borrowed_Word,Comment,Dialect_Genderlect_Info,Entry_IDs,Language_of_Origin,Media_IDs,Paradigm,Source_Citation_Form,Variant_Form
LX000963,gyr,ndei ... rane,exp,,,,,gyr,,,ndei - rane (Hoeller 1932a:144),
ndekatu,gyr,ndekatu,n,,,,teiete_1,gyr,,"chekatu, ndekatu","-; tecatu, che aete catu (Hoeller 1929:102)",tekatu?
ndero,gyr,ndero,part,,,,,gyr,,,ndero (Hoeller 1932a:144); ndero (Hoeller 1929:61),
ndipoi,gyr,ndipoi,part,,,,ndipoiri,gyr,,negation,ndipoi (Hoeller 1932a:145),
LX000964,gyr,ndipoi mba'e,exp,,,,LX000736,gyr,,,-; mbae eý = ndiropoibae (Hoeller 1929:47),
ndipoiri,gyr,ndipoiri,part,,,,ndipoi,gyr,,negation,-; ndipori v. pori (ndipotei ?) nipoiri (Hoeller 1929:61),
LX000965,gyr,ndivɨi,n,,,,LX001765,gyr,,negation,-; ndǐbǐ ? (Hoeller 1929:61),
LX000966,gyr,ndɨ,n,,,,LX001260,gyr,,che rendɨ,"ndì, che rendì (Hoeller 1932a:145)",
LX000967,gyr,ndɨvɨ,v,,,,LX000966,gyr,,andɨgwɨ,"ndìguì, andìguì (Hoeller 1932a:145); (ndiguǐ) - andǐguǐ zeze (Hoeller 1929:61)",ndɨvɨi
LX000968,gyr,ndopa apɨre'ɨ̈ seko,exp,,presumably an attempt to translate a religious concept by the missionaries,,,gyr,,,zeco apìreỹ (Hoeller 1932a:327),
LX000969,gyr,ndovɨroyai,exp,,,,roya,gyr,,,-; ndor oyai - ndogueroyai (Hoeller 1929:94),
ndugwer,gyr,ndugwer,n,,,,,gyr,,indugwer,induguer (Hoeller 1932a:90); nduguer (Hoeller 1932a:145) ; induguer (Hoeller 1929:37); nduguer (Hoeller 1929:61),
nduru,gyr,nduru,v,,,,nduru,gyr,,anduru,nduru (Hoeller 1932a:145); nduru ? (Hoeller 1929:61),
nduya,gyr,nduya,n,,,,,gyr,,,nduya (Hoeller 1932a:146); nduya (Hoeller 1929:61),
LX000970,gyr,ndu'u,v,,used for incorporation or compounding,,LX000638,gyr,,,nduu (Hoeller 1932a:146),
LX000971,gyr,oäka movava,n,,,,LX000910,gyr,,añoäka movava,-; vava - avava - ayecua movava - ayouca movava - ayenambǐ movava - ambovava - ivávabae (Hoeller 1929:116),
LX000972,gyr,oɨ,n,,,,,gyr,,,oìg (Hoeller 1932a:159); oǐ - ogguerái - oǐrupindar ? (Hoeller 1929:68),
LX000973,gyr,oɨgwɨi,n,,2019: only oɨkupeɨgwɨi,,LX000974,gyr,,,"-; oǐguǐr, oǐgcupeǐguǐr, zampǐpe oe (Hoeller 1929:69)",oɨgwɨr
LX000974,gyr,oɨkupeɨgwɨr,n,,,,LX000973,gyr,,,"-; oǐguǐr, oǐgcupeǐguǐr, zampǐpe oe (Hoeller 1929:69)",
LX000975,gyr,oɨ'ɨpɨpendar,n,,,,,gyr,,,-; oǐpǐpendar (Hoeller 1929:68),
LX000976,gyr,okapɨr,n,,2019: okaprɨta,,,gyr,,,ocapìr od. ocapìreta (Hoeller 1932a:159); ocapǐr (Hoeller 1929:68),okapɨreta
okar,gyr,okar,n,,,,,gyr,,,ocar (Hoeller 1932a:159); ocar - ocaruzu (Hoeller 1929:68),
okienda,gyr,okienda,n,,,,,gyr,,,oquienda (Hoeller 1932a:159); oquienda - oq.mboyaza - oq.coca (Hoeller 1929:68),okenda
LX000977,gyr,okɨkɨr mini,n,,2019: okɨkrɨmi,,,gyr,,,- oquǐquǐr mini ? (Hoeller 1929:69),
LX000978,gyr,okɨvɨ mini,n,,2019: okɨvɨmi,,,gyr,,,oquìbì mini (Hoeller 1932a:160),
LX000979,gyr,okɨyepotasape,adv,,2019: old derivation o- ... -sa -pe (LOC),,yepota,gyr,,,"-; yepota, ayepota - oyepota pota oyeupe - amboyepotata - oquǐyepotazape (Hoeller 1929:127)",
oo,gyr,oo,intj,,,,,gyr,,,oo (Hoeller 1932a:159); oo (Hoeller 1929:68),
opakatu,gyr,opakatu,adv,,,,pa_2,gyr,,,"pa, opa, opacatu (Hoeller 1932a:162)",
opayandepo,gyr,opayandepo,num,,lit. our hand terminates,,,gyr,,,opayandepo (Hoeller 1932a:159); opayandepo (Hoeller 1929:68),
operere,gyr,operere,ideo,,,,,gyr,,,operere (Hoeller 1929:72),
opo-,gyr,opo-,pref,,"so-called set IV (Jensen 1998:498), portmanteau prefix for SAP with sensitive person hierarchy",,,gyr,,1>2PL-V,opo (Hoeller 1932a:159); opo - che opo aǐzu (Hoeller 1929:68),
ore,gyr,ore,pron,,pronoun and marker of the che-paradigm,,,gyr,,ore N,ore (Hoeller 1932a:160); ore (Hoeller 1929:69),
oro-_1,gyr,oro-,pref,,marker for active verbs of the a-paradigm,,,gyr,,1PL.excl-V,oro (Hoeller 1932a:160); oro (Hoeller 1929:69),
oro-_2,gyr,oro-,pref,,"so-called set IV (Jensen 1998:498), portmanteau prefix for SAP with sensitive person hierarchy",,,gyr,,1>2SG-V,oro (Hoeller 1932a:160),
LX000980,gyr,ou va'erä,exp,,lit. for what comes,,yu_1,gyr,,,"yu (Hoeller 1932a:309); yu, ayu - onei oyu - oubaeza - ambou (Hoeller 1929:135)",
ouve,gyr,ouve,v,,,,,gyr,,ouve,oube (Hoeller 1932a:160); ou = iu (Hoeller 1929:69); oube inipǐpe (Hoeller 1929:69),
ova,gyr,ova,n,,"the bare root in incorporation, preceded by y-",,rova,gyr,,,yoba (Hoeller 1932a:303); yoba (Hoeller 1929:132),
LX000981,gyr,ovapɨ,n,,,,ova ; sova ; LX001462,gyr,,,oba (Hoeller 1932a:158); zoba ǐba - obápǐ (Hoeller 1929:68),
LX000982,gyr,overa va'e,n,,,,vera,gyr,,,vera (Hoeller 1932a:269); vera - iverabae - amoveracuer - overa vera (Hoeller 1929:116),
ovesa,gyr,ovesa,n,spa: oveja,,,,spa,,,oveza (Hoeller 1932a:160); obeza (Hoeller 1929:68),
oya,gyr,oya,part,,,,,gyr,,,oya (Hoeller 1932a:160); oya (oya quiya) (Hoeller 1929:69) ; oyaboi ichoi ? (Hoeller 1929:69),
oyeupe,gyr,oyeupe,pron,,,,,gyr,,,oyeupe (Hoeller 1932a:160),
oyoupe,gyr,oyoupe,pron,,this is used for the community that does sth. as a group,,,gyr,,,oyoupe (Hoeller 1932a:160),
LX000983,gyr,o'amba,n,,,,,gyr,,,oamba (Hoeller 1932a:158) ; oamba (Hoeller 1929:68); camba oamba (Hoeller 1929:68),
o-,gyr,o-,pref,,"generally the marker of active verbs of the a-paradigm, but could also be the coreferential marker, then attached to V/N",,,gyr,,3-V,o (Hoeller 1932a:158); o (Hoeller 1932a:158); o (Hoeller 1929:68),
pa_1,gyr,pa,v,,,,opakatu,gyr,,"apa, opa","pa, apa (Hoeller 1932a:161); pa, ipa - ipabae - apa - opa - pareý (Hoeller 1929:70)",
pa_2,gyr,pa,v,,"in fact, this is the same verb as pa 'finish'",,opakatu,gyr,,opa,"pa, opa, opacatu (Hoeller 1932a:161); pa - opa, opacatu - opacatu rupi (Hoeller 1929:70)",
pa_4,gyr,pa,intj,,,,,gyr,,,pa (Hoeller 1932a:161); pa - che raǐr pa ? (Hoeller 1929:70),
LX000984,gyr,paɨ,n,,,,,gyr,,,paì (Hoeller 1932a:162); paǐg (Hoeller 1929:70),
paku,gyr,paku,n,,,,,gyr,,,pacuguazu (Hoeller 1932a:162); pacu guazu (Hoeller 1929:70),
panaku,gyr,panaku,n,spa: panacú; bésiro: panakixh,,,,gyr,,,panacu (Hoeller 1932a:163); panacu (Hoeller 1929:70),
panapana,gyr,panapana,n,,,,,gyr,,,"pana, pana pana (Hoeller 1932a:163); pana (Hoeller 1929:70)",
pane,gyr,pane,n,,,,,gyr,,ipane,pane (Hoeller 1932a:163); pane - che pane - amopane - ipane chepeine?? (Hoeller 1929:70),
papa_1,gyr,papa,v,,,,,gyr,,aipapa,papa (Hoeller 1932a:163); papa - arǐpapazar (Hoeller 1929:71),
papa_2,gyr,papa,n,,,spa: papá ; FEM,,spa,,"che papa, nde papa, ipapa",Papa (Hoeller 1932a:163); papa (Hoeller 1929:71),
para,gyr,para,n,,,,,gyr,,,"para (Hoeller 1932a:164); para - ipárabai (Hoeller 1929:71); pana, pana pana (Hoeller 1932a:163)",pana
LX000985,gyr,parachï,n,,not confirmed,,,gyr,,,parachi (Hoeller 1932a:164); parachǐ (Hoeller 1929:71),kau parachï
paragwasu,gyr,paragwasu,n,,,,,,,,para (Hoeller 1932a:164); parâ - parâ guazu (Hoeller 1929:71),
LX000986,gyr,paraɨsu,n,,,,,gyr,,,mbaraìzu (Hoeller 1932a:115); paraìzu (Hoeller 1932a:164) ; mbaraǐzu - mbaraǐzu erecozar (Hoeller 1929:48); paraǐzu - iparaǐzubae (Hoeller 1929:71),
LX000987,gyr,parärä,v,,,,,gyr,,,parãrã (Hoeller 1932a:165); parara (Hoeller 1929:71),
pariri,gyr,pariri,n,,,,,gyr,,,pariri (Hoeller 1932a:165); pariri (Hoeller 1929:71),
LX000988,gyr,pasä chiringa?,n,,"not confirmed, but pasä is a mudball, stone, sth. to shoot with",,LX001223,gyr,,,-; potâ ? chiriregu ? (Hoeller 1929:86),patä chiringa?
LX000989,gyr,patavɨi,n,,,,,gyr,,,pataguìi (Hoeller 1932a:165); patagui - patagui pocaza (Hoeller 1929:71),
LX000990,gyr,patavɨi pokasa,n,,,,,gyr,,,-; patagui - patagui pocaza (Hoeller 1929:71),
LX000991,gyr,patuvɨ,n,,,,,gyr,,,-; patubǐ (Hoeller 1929:71),
LX000992,gyr,payandɨi,n,,,,,gyr,,,payandìi (Hoeller 1932a:166); payandǐi (Hoeller 1929:71),
paye,gyr,paye,n,,,,payesa,gyr,,,paye (Hoeller 1932a:166) ; mbayeza v. paye (Hoeller 1929:48) ; paye - caa paye - ipayebae (Hoeller 1929:71),
payesa,gyr,payesa,n,,,,paye,gyr,,,-; mbayeza v. paye (Hoeller 1929:48),
LX000993,gyr,pa'a,n,,vocactive term,FEM,,gyr,2dadccde2aa76486474dad3012bc96f8,che pa'a,"paa, che paa (Hoeller 1932a:162); paa (Hoeller 1929:70)",
LX000994,gyr,Pa'i,n,spa: padre,,,,spa,,,Pa-i (Hoeller 1932a:162); pai (Hoeller 1929:70),
LX000995,gyr,pa'ü,n,,,,LX000619,gyr,,ipa'ü,"pa-ũ, ipa-ũ (Hoeller 1932a:165); paû, ipáû - ǐpáu, - amopaû (Hoeller 1929:71)",pä'ü
LX000996,gyr,pä,v,,the bare root for incorporation,,LX000951,gyr,,añopa,"pã, añopã (Hoeller 1932a:162); pa, añopa ǐbǐra - ǐbǐra pazar (Hoeller 1929:70)",
LX000997,gyr,pä,part,,,,,gyr,,,pã (Hoeller 1932a:162); pâ (Hoeller 1929:70),pa
LX000998,gyr,pärä,v,,,,mopana,gyr,,,"pãrã (Hoeller 1932a:164); popana ipopana ? (Hoeller 1929:83) pana, ipopana - amopana ? (Hoeller 1929:70)",pana
LX000999,gyr,päri,n,,,,,gyr,,,pãrĩ (Hoeller 1932a:165); pani - iperibae - amopani (Hoeller 1929:71); cuãrĩ (Hoeller 1932a:60),pani
LX001000,gyr,päve,adv,,,,pa_2,gyr,,,pãvẽ (Hoeller 1932a:166); pâve - pâve opacatu (Hoeller 1929:71),
LX001001,gyr,pä'ä,v,,,,,gyr,,apä'ä,"pãã, apãã (Hoeller 1932a:162); paâ, apaâ - amopaâ (Hoeller 1929:70)",
LX001002,gyr,pä'ümbuku,v,,,,,gyr,,ipä'ümbuku,"pa-umbucu (Hoeller 1932a:166); pambucu, ipambucu - pambucuuar (Hoeller 1929:70)",
pe_1,gyr,pe,n,,,,,gyr,81059d3c7853aff9bb5339ef28b99f79,ipe,pe (Hoeller 1932a:166),
pe_2,gyr,pe,n,,,,,gyr,44e7af1783355e562aa592449a31820c,ipe,pe (Hoeller 1932a:166); ipe - ipêbae - oǐ? ipébae (Hoeller 1929:72),
pe_3,gyr,pe,pron,,pronoun and marker of the che-paradigm,,,gyr,,"pe N, pëu","pe, od. pẽ (Hoeller 1932a:166); pê (Hoeller 1929:71)",pë
pe_4,gyr,pe,dem,,"there is no text example in Hoeller, and it is more common in Guaraní",,,gyr,,,"pe, pebe (Hoeller 1932a:166) ; pe, pebe (Hoeller 1929:71); pe, pebae, peieobae (Hoeller 1929:72)",
pe_5,gyr,pe,adv,,,,,gyr,,,"pe, pebe (Hoeller 1932a:166) ; pe, pebe (Hoeller 1929:71); pe, pebae, peieobae (Hoeller 1929:72)",peve
peka,gyr,peka,v,,,,,gyr,,aipeka,"peca, aipeca (Hoeller 1932a:168); peca, aipeca (Hoeller 1929:72)",
pekapira,gyr,pekapira,n,,,,,,,,-; pecapira (Hoeller 1929:72),
pekwer,gyr,pekwer,n,,almost obsolete,,pirer,gyr,,,pecuer (Hoeller 1929:168); pecuer - ipoǐ - ipéǐ (Hoeller 1929:72),
pembe,gyr,pembe,n,,,,,gyr,,,-; pembe ? (Hoeller 1929:72),
LX001003,gyr,pembɨr,n,,,,,gyr,,,pembìr (Hoeller 1932a:168); pembǐr (Hoeller 1929:72),
peno,gyr,peno,n,,,,,gyr,,,"peno (Hoeller 1932a:168); pendo, pendu ? (Hoeller 1929:72)",
pendar,gyr,pendar,postpos,,,,,gyr,,,pendar (Hoeller 1932a:168); pendar (cheundar) (Hoeller 1929:72),
LX001004,gyr,pendärä,n,,,,LX000494,gyr,,che pendärä,"pendãrã, che pendãrã (Hoeller 1932a:168)",
pengwer,gyr,pengwer,n,,,,,gyr,,,penguer (Hoeller 1932a:168); -; pender ? (Hoeller 1929:72),
peo,gyr,peo,v,,,,,gyr,,aipeo,"peo, aipeo (Hoeller 1932a:169)",
pepe_1,gyr,pepe,v,,,,,gyr,,apepe,"-; pepe, apepe (Hoeller 1929:72)",
pepe_2,gyr,pepe,adv,,2019: peve,,,gyr,,,"- ; pepe, pebe (Hoeller 1929:72)",peve
pepi,gyr,pepi,v,,,,,gyr,,aipepi,"pepi, aipepi (Hoeller 1932a:169); pepi, aipepi - ayapepi (Hoeller 1929:72)",
LX001005,gyr,pepɨ,v,,,,,gyr,,aipepɨ,"pepì, aipepì (Hoeller 1932a:169); pepǐ, aǐpepǐ, aǐpépǐi (Hoeller 1929:73)",
LX001006,gyr,pepɨr,n,,not confirmed,,,gyr,,,pepìr (Hoeller 1932a:169); pepǐ (Hoeller 1929:72),pepɨ
pepo,gyr,pepo,n,,,,,gyr,,ipepo,"pepo (Hoeller 1932a:169); pepo, ipepo, opepe, opeporeze ? (Hoeller 1929:73)",
pepokwer,gyr,pepokwer,n,,,,pepo,gyr,,ipepokwer,"pepo (Hoeller 1932a:169); pepo, ipepo, opepe, opeporeze ? (Hoeller 1929:73)",
pepu,gyr,pepu,n,,,,,gyr,,,pepu (Hoeller 1932a:169); pepu (Hoeller 1929:73),
pere,gyr,pere,n,,,,,gyr,,che repere,"pere (Hoeller 1932a:170); pere, che repere (Hoeller 1929:73)",
pere_pere,gyr,pere pere,n,,,,repere,gyr,,che repere,pere; pere pere (Hoeller 1932a:170),
LX001007,gyr,perɨ,n,,,,saper,gyr,,,"per, perì (Hoeller 1932a:169); per - per ǐma = pírǐguacuá (Hoeller 1929:73)",per
pero,gyr,pero,n,,,,,gyr,,,pero (Hoeller 1932a:170); péro (Hoeller 1929:73),
LX001008,gyr,pesäärö,n,,,,LX001345,gyr,,(R-S-T-0),"-; tezaano, a: pezáarô (Hoeller 1929:106)","tesäno, pesärö"
LX001009,gyr,peseyɨr,n,Moxo?,"supposedly it is the word that Moxos say for thunder, but the Guarayo used it in some stories of ancient times",,,trn?,,,pezeyìr (Hoeller 1932a:171); pezêyǐr ? (Hoeller 1929:73),
pete,gyr,pete,v,,,,,gyr,,aipete,pete (Hoeller 1932a:170); pete - aîpete - ayepopete (Hoeller 1929:73),
petesa,gyr,petesa,n,,not used today,,,gyr,,,-; peteza ? (Hoeller 1929:73),
peye,gyr,peye,pron,,"in ancient times, there was an extra form peyepe for 2PL here, but today, it is used for SG and PL",,,gyr,,,peye (Hoeller 1932a:171); peyepe (Hoeller 1929:73),
peyu,gyr,peyu,v,,,,,gyr,,aipeyu,"peyu, aipeyu (Hoeller 1932a:171); peyu, aipeyu (aiyopǐ ibo??) (Hoeller 1929:73)",
LX001010,gyr,pe'a,v,,,,,gyr,,aipea,"pea, aipea (Hoeller 1932a:167); pea - aipea (Hoeller 1929:72)",
LX001011,gyr,pe'o,v,,,,,gyr,d74faae9a1d5e69ed703fbe772d6319a,"ape'o, erepe'o, ope'o perɨ","peo, opeo perì (Hoeller 1932a:169)",
pe-_5,gyr,pe-,pref,,pronominal prefix and marker of the a-paradigm,,,gyr,,2PL-V,"pe, od. pẽ (Hoeller 1932a:166); pê (Hoeller 1929:71)",pë-
LX001012,gyr,pë,v,,,,,gyr,73234fe3b6aae597890adb24de4df551,öpë,"pẽ, ãpẽ (Hoeller 1932a:167)",
LX001013,gyr,pë,v,,"bare root, only used in specific constructions",,LX000952,gyr,,,"pẽ, añopẽ (Hoeller 1932a:167) ; pê - ǐbǐrapêmbǐr - â pê âguâ - añopê (Hoeller 1929:72)",
LX001014,gyr,pë,n,,,,,gyr,1bb0ea3e9766c5e7c34ef35150edb025,"chë pë, ndë pë, ipë","pẽ, chẽ pẽ (Hoeller 1932a:167); pê - chê pê (Hoeller 1929:72)",
LX001015,gyr,pësë,n,,,,,gyr,,ipësë,"pẽzẽ, ipenzẽ atì (Hoeller 1932a:171); pezê, ipezê (Hoeller 1929:73)",
LX001016,gyr,pëtɨ̈,n,,,,,gyr,,,petỹ (Hoeller 1932a:170),
pi_1,gyr,pi,v,,,,yopi,gyr,,ayopi,"pi, ayopi (Hoeller 1932a:171); pi, piguer - che pi (Hoeller 1929:75)",
pi_2,gyr,pi,v,,,,mimbi,gyr,,opi,"pi, opi guarapo (Hoeller 1932a:171)",
pia,gyr,pia,v,,"bare root, used for incorporation",,sekopia ; yepia,gyr,,"ayopia, asekopia","pia, ayopia (Hoeller 1932a:171); yopia (Hoeller 1932a:304) ; pia - azecopia - ayepia (Hoeller 1929:73); yopia, ayopia (Hoeller 1929:133)",pɨ
LX001017,gyr,piaï pirer,n,,2019: only piangɨ,,,gyr,,,piaĩ pirer (Hoeller 1932a:172); piai pirer (Hoeller 1929:73),
piane,gyr,piane,part,,2019: possibly obsolete,,,gyr,,,piane (Hoeller 1932a:172); piane (Hoeller 1929:74),
LX001018,gyr,piañɨ̈,n,,,,,gyr,,,piañỹ (Hoeller 1932a:172),
piar,gyr,piar,n,,used as a postposition,,LX001007 ; raper,gyr,,,"piar (Hoeller 1932a:172); pia, piar (Hoeller 1929:29)",
LX001019,gyr,piängɨ,n,,,,,gyr,,,"piañỹ (Hoeller 1932a:172); piangi, apiáñe (Hoeller 1929:74)",piangɨ
LX001020,gyr,piärö,v,,,,,gyr,571dc1c609d30fb59a350b67d00e3981,aipiärö,"piãrõ, aipiãrõ (Hoeller 1932a:172); pianô, piarô (Hoeller 1929:74)",
piche,gyr,piche,n,,"bare root, possibly not used as an N anymore (2019)",,yapiche,gyr,,ipiche,"piche, ipiche (Hoeller 1932a:172); piche (Hoeller 1929:74)",
pichi,gyr,pichi,v,,,,,gyr,,aipichi,"pichi, aipichi (Hoeller 1932a:172); pichi, aipichi (Hoeller 1929:74)",
LX001021,gyr,pichi'u,n,,,,,gyr,,,"pichiu od. pichiì (Hoeller 1932a:172); pǐchî, ǐpǐchî - pǐchî ? (Hoeller 1929:77); -; pitiu, ipichiu (Hoeller 1929:75)","pichiɨ, piti'u"
pig,gyr,pig,ideo,,,,,gyr,,,pig od. piì (Hoeller 1932a:172); pig ? (Hoeller 1919:74),piɨ
LX001022,gyr,pikɨr,n,,2019: pikrɨ,,,gyr,,,piquìr (Hoeller 1932a:173); piquǐr (Hoeller 1929:74),
pini,gyr,pini,n,,,,mopini,gyr,,,"pini (Hoeller 1932a:173); pini - amopini, ereyemombini (Hoeller 1929:74)",
pinda,gyr,pinda,n,,,,,gyr,e2c7abacd7e149a301518248892abef5,"che pinda, nde pinda, ipinda",pinda (Hoeller 1932a:172); pinda - apira poi - ñaca pinda pinda (Hoeller 1929:74),
LX001023,gyr,pindɨ,v,,,,,gyr,,asepindɨ,"pindì, azepindì (Hoeller 1932a:173); pǐndǐ, aǐpindǐ, arepǐndǐ (Hoeller 1929:74)",
pindo,gyr,pindo,n,,,,,gyr,,,pindo (Hoeller 1932a:173); pindo (Hoeller 1929:74),
pindo_pota,gyr,pindo pota,n,,,,,gyr,,,pota; pindo pota (Hoeller 1932a:204),
pipipi,gyr,pipipi,ideo,,used as a verb,,,gyr,,opipipi,"pipipi, opipipi (Hoeller 1932a:173); pipipi ? (Hoeller 1929:74)",
pira_1,gyr,pira,v,,,,,gyr,,aipira,"pira, aipira (Hoeller 1932a:173); pira, aipira (Hoeller 1929:74)",
pira_2,gyr,pira,n,,,,,gyr,0f24ae765968bc0e7af95435c2cc82ea ; 526c72e44194c0ae22ce5f25094a24a4,,pira (Hoeller 1932a:173); pira (Hoeller 1929:74),
LX001024,gyr,pira ɨpa,n,,,,LX000354,gyr,,,-; pira ǐpa = pira récua (Hoeller 1929:74),
LX001025,gyr,pirañesa,n,,,,,,,,-; pira ñeza ? (Hoeller 1929:74),
pirapoi,gyr,pirapoi,v,,,,pira_2,gyr,,apira poi,-; pinda - apira poi - ñaca pinda pinda (Hoeller 1929:74),
LX001026,gyr,pirarasoɨ,n,,,,,gyr,,,pirirazoi (Hoeller 1932a:174); pirirazoi (Hoeller 1929:75),pirirasoɨ
pirarekwa,gyr,pirarekwa,n,,,,,,,,-; pira ǐpa = pira récua (Hoeller 1929:74),
LX001027,gyr,piräkwa,n,,,,LX001028,gyr,,che piräkwa,"pirãcuã (Hoeller 1932a:174); pirãcuã, piranta (Hoeller 1932a:176); pǐrâcua - pirâta (Hoeller 1929:76)",
LX001028,gyr,pirätä,n,,,,LX001027,gyr,,,"miranta (Hoeller 1932a:129); pirãcuã, gleich: piranta (Hoeller 1932a:174); piranta, ipiranta bae (Hoeller 1932a:176); pirãcuã, piranta (Hoeller 1932a:176) ; mirâtâ, pirâta (Hoeller 1929:54) ; pǐrâcua - pirâta (Hoeller 1929:76)",mïrätä
pire,gyr,pire,n,,,,,gyr,,che pire,"pire, che pire (Hoeller 1932a:174)",
LX001029,gyr,pirembo'i,v,,,,LX001337,gyr,,aipiremboi,"piremboi, aipiremboi (Hoeller 1932a:174); piremboi, apiremboi ? (Hoeller 1929:75)",piremboi
pirepoka,gyr,pirepoka,v,,,,LX001038,gyr,,aipipoka,"pipoca, aipipoca (Hoeller 1932a:173); pipoca, aipipoca ? (Hoeller 1929:74); pirepoca, aipirepoca (Hoeller 1932a:174); pirepoca ? (Hoeller 1929:75)",
pirer,gyr,pirer,n,,,,,gyr,,ipirer,"pirer, ipirer (Hoeller 1932a:174); pi, pirer (Hoeller 1929:73)",
pireru,gyr,pireru,n,,,,,gyr,,ipireru,"pireru, ipireru (Hoeller 1932a:174); pireru (Hoeller 1929:75)",
LX001030,gyr,pirëri,n,,"objects, not so much for persons",,,gyr,,"ipïrërï, ambomirërï","-; mirêrî, ipipêrî (Hoeller 1929:54); -; pirêrî (Hoeller 1929:75); pirẽrĩ (Hoeller 1932a:174); mirẽrĩ (Hoeller 1932a:129) ; mirêrî, ipipêrî (Hoeller 1929:54)",mirëri
piri,gyr,piri,n,,,,,gyr,,,piri (Hoeller 1932a:174); piri ? (Hoeller 1929:75),
LX001031,gyr,piripëpë,n,,,,,gyr,,,piripẽpẽ (Hoeller 1932a:174); piripêpe ? (Hoeller 1929:75),
piriri,gyr,piriri,v,,,,,gyr,,opiriri,"piriri, opiriri Hoeller 1932a:174); piriri, opiriri (Hoeller 1929:75)",
piririgwa_1,gyr,piririgwa,n,,,,,gyr,,,piririgua (Hoeller 1932a:174),
piririgwa_2,gyr,piririgwa,n,,,,,gyr,,,piririgua (Hoeller 1932a:174); piri rigua (Hoeller 1929:75),
LX001032,gyr,pirɨai,n,,in Hoeller's time (1932) it was already obsolete,,,gyr,,che pirɨai,"pirìai,(fast veraltet), che pirìai (Hoeller 1932a:175); pirǐai - che pirǐai zǐrǐ (Hoeller 1929:75); -; mbirai ? (Hoeller 1929:48)",mbirɨai
piro,gyr,piro,v,,,,,gyr,,aipiro,"piro, aipiro (Hoeller 1932a:175); piro, -aipiro ? (Hoeller 1929:75)",
piru,gyr,piru,n,,,,,gyr,,ipiru,"piru (Hoeller 1932a:175); piru, ipiru (Hoeller 1929:75)",
LX001033,gyr,piru'a,n,,incorporates body parts,,,gyr,,,"pirua (Hoeller 1932a:175); pirua (Hoeller 1929:75); popirua, che po pirua (Hoeller 1932a:198); popirua, che popirua (Hoeller 1929:83)",
pitai,gyr,pitai,n,spa: paitaí,,,,gyr.spa?,,,pitai (Hoeller 1932a:175); pitai ? (Hoeller 1929:75),
pitani,gyr,pitani,n,,,,,gyr,,,pitani (Hoeller 1932a:175); pitani (Hoeller 1929:75),
LX001034,gyr,pitägwä,n,,,,,gyr,,,pitãguã (Hoeller 1932a:175); pitâgua (Hoeller 1929:75),
pito,gyr,pito,n,,,,pito_ura,gyr,,ipiti va'e,"pito, ipitobae (Hoeller 1932a:175)",
pito_ura,gyr,pito ura,n,,not confirmed,,,gyr,,,-; pito ura? (Hoeller 1929:75),
pitu,gyr,pitu,v,,obsolete (2019),,,gyr,,ayepitu,"pitu, (veraltet) ayepitu (Hoeller 1932a:175); pitu ? (Hoeller 1929:75)",
pituva,gyr,pituva,n,,,,,gyr,,ipituva,"pituva, ipituva (Hoeller 1932a:175); pitugua ? (Hoeller 1929:75)",
LX001035,gyr,pi'a,n,,2019: pi'äsa,FEM,,gyr,0e0075393274a63c4dce33435fed0279,,pi-a (Hoeller 1932a:171); pia (Hoeller 1929:73),
LX001036,gyr,pi'ä,part,,,,LX000997,gyr,,,pi-ã (Hoeller 1932a:176); pîa (Hoeller 1929:76),
LX001037,gyr,pï,v,,,,LX000953,gyr,,añopï,"ñopĩ (Hoeller 1932a:157) ; ñopî. añopî (Hoeller 1929:66) ; pînguer - ǐbǐra pîza - añopî (Hoeller 1929:75); pĩ, añopĩ (Hoeller 1932a:176)",
LX001038,gyr,pïchä,v,,,,,gyr,,aipïchä,"pĩchã, aipĩchã (Hoeller 1932a:172); pichâ, aipichâ (Hoeller 1929:74)",
LX001039,gyr,pïcho,v,,,,mombicho,gyr,,aipïcho,"picho (Hoeller 1932a:172); picho, aipicho (Hoeller 1919:74)",
LX001040,gyr,pïgwer,n,,,,,,,,-; pînguer - ǐbǐra pîza - añopî (Hoeller 1929:75),pïngwer
LX001041,gyr,pïnea,n,,,,LX001044,gyr,,,-; pînea - tapînea (Hoeller 1929:76),
LX001042,gyr,pïpe,n,,,,,gyr,,"che pïpe, ñapïpe",pĩpe (Hoeller 1932a:176),apïpe
LX001043,gyr,pïpï,v,,,,,gyr,,aipïpï,"pĩpĩ, aipĩpĩ (Hoeller 1932a:176)",
LX001044,gyr,pïra,n,,,,,gyr,51b3e3ca37459b0230ea64b1c12b234f,,pĩrã (Hoeller 1932a:177),
LX001045,gyr,pïraumbɨ,n,,,,,gyr,,,-; pǐnaumbǐ (Hoeller 1929:76),
LX001046,gyr,pïtö,n,,,,,gyr,,,pĩtõ (Hoeller 1932a:177); pîtô (Hoeller 1929:76),
LX001047,gyr,pɨ,n,,,,,gyr,,,pì (Hoeller 1932a:177); pǐ (Hoeller 1929:76),
LX001048,gyr,pɨ,n,,,,,gyr,,ipɨ,"pì (Hoeller 1932a:177); pǐ, ipǐcuer (Hoeller 1929:76)",
